Player,Pos,Ht,Wt
D.J. Kennedy,F,198.12,97.52
Goo Kennedy,F-C,195.58,92.99
Joe Kennedy,F,198.12,95.25
Pickles Kennedy,G,180.34,81.65
Larry Kenon,F,205.74,92.99
Billy Kenville,G-F,187.96,84.82
Jonathan Kerner,C,210.82,111.13
Red Kerr,F-C,205.74,104.33
Steve Kerr,G,190.5,79.38
Jack Kerris,F-C,198.12,97.52
Jerome Kersey,F,200.66,97.52
Tom Kerwin,F,200.66,95.25
Alec Kessler,F-C,210.82,104.33
Lari Ketner,F-C,205.74,125.65
Julius Keye,F-C,208.28,90.72
Randolph Keys,G-F,200.66,88.45
Viktor Khryapa,F,205.74,95.25
Jason Kidd*,G,193.04,92.99
Stanton Kidd,F,198.12,97.52
Warren Kidd,F,205.74,106.59
Michael Kidd-Gilchrist,F,198.12,105.23
Irv Kiffin,F,205.74,102.06
Jack Kiley,G,185.42,77.11
Earnie Killum,G,190.5,81.65
Carl Kilpatrick,C,208.28,104.33
Sean Kilpatrick,G,193.04,95.25
Toby Kimball,F-C,198.12,99.79
Bo Kimble,G,193.04,86.18
Stan Kimbrough,G,180.34,69.4
Chad Kinch,G,193.04,86.18
Albert King,G-F,198.12,86.18
Bernard King*,F,200.66,92.99
Chris King,F,203.2,97.52
Dan King,F,198.12,99.79
Frankie King,G,185.42,83.91
George King,G,182.88,79.38
George King,G-F,198.12,102.06
Gerard King,F,205.74,104.33
Jim King,G,187.96,79.38
Jimmy King,G,195.58,95.25
Louis King,F,200.66,88.45
Loyd King,G,187.96,81.65
Maurice King,G,187.96,88.45
Reggie King,F,198.12,102.06
Rich King,C,218.44,117.93
Ron King,G,193.04,83.91
Stacey King,F-C,210.82,104.33
Tom King,G,182.88,74.84
Bob Kinney,F-C,198.12,97.52
Tarence Kinsey,G,198.12,83.91
Andrei Kirilenko,F,205.74,99.79
Alex Kirk,C,213.36,111.13
Walt Kirk,G-F,190.5,78.47
Wilbur Kirkland,F,200.66,86.18
Jim Kissane,F,200.66,95.25
Doug Kistler,F,205.74,95.25
Curtis Kitchen,F,205.74,106.59
Greg Kite,C,210.82,113.4
Kerry Kittles,G,195.58,81.19
Maxi Kleber,F,208.28,108.86
Joe Kleine,C,210.82,115.67
Linas Kleiza,F,203.2,111.13
Leo Klier,G-F,187.96,77.11
Herm Klotz,G,170.18,68.04
Duane Klueh,G,190.5,79.38
Lonnie Kluttz,F,200.66,99.79
Billy Knight,G-F,198.12,88.45
Bob Knight,G-F,187.96,83.91
Brandin Knight,G,182.88,81.65
Brandon Knight,G,187.96,88.45
Brevin Knight,G,177.8,78.47
Negele Knight,G,185.42,79.38
Ron Knight,F,200.66,97.52
Toby Knight,F,205.74,95.25
Travis Knight,C,213.36,106.59
Lee Knorek,C,200.66,97.52
Dick Knostman,C,198.12,97.52
Rod Knowles,F-C,205.74,97.52
Kevin Knox,F,200.66,97.52
Bart Kofoed,G,193.04,95.25
Don Kojis,F,195.58,97.52
Milo Komenich,F-C,200.66,96.16
Howard Komives,G,185.42,83.91
Jon Koncak,F-C,213.36,113.4
John Konchar,G,195.58,95.25
Tom Kondla,C,203.2,102.06
Bud Koper,G,198.12,95.25
Joe Kopicki,F,205.74,108.86
Furkan Korkmaz,G,200.66,86.18
Frank Kornet,F,205.74,102.06
Luke Kornet,F,218.44,108.86
Yaroslav Korolev,F,205.74,92.08
Kyle Korver,G-F,200.66,96.16
Tony Koski,F,203.2,97.52
Len Kosmalski,C,213.36,111.13
Andy Kostecka,F,190.5,92.08
Harold Kottman,C,203.2,99.79
Kosta Koufos,C,213.36,111.13
Tom Kozelko,F,203.2,99.79
Ronald Kozlicki,F,200.66,97.52
Arvid Kramer,C,205.74,99.79
Barry Kramer,G-F,193.04,90.72
Joel Kramer,F-C,200.66,92.08
Steven Kramer,G-F,195.58,90.72
Dan Kraus,G,182.88,88.45
Herb Krautblatt,G,185.42,86.18
Viacheslav Kravtsov,C,213.36,117.93
Jim Krebs,F-C,203.2,104.33
Wayne Kreklow,G,193.04,79.38
Tommy Kron,G,195.58,90.72
Tom Kropp,G,190.5,92.99
Nenad Krstić,C,213.36,108.86
Larry Krystkowiak,F-C,205.74,99.79
Steve Kuberski,F-C,203.2,97.52
Leo Kubiak,G,180.34,72.57
Bruce Kuczenski,F,208.28,104.33
Frank Kudelka,G-F,187.96,87.54
John Kuester,G,187.96,81.65
Ray Kuka,F,190.5,90.72
Toni Kukoč,F,208.28,87.09
Kevin Kunnert,F-C,213.36,104.33
Terry Kunze,G-F,193.04,95.25
Mitch Kupchak,F-C,205.74,104.33
C.J. Kupec,F-C,198.12,99.79
Rodions Kurucs,F,205.74,103.42
Rob Kurz,F,205.74,105.23
Ibo Kutluay,G,198.12,90.72
Kyle Kuzma,F,203.2,99.79
Ognjen Kuzmić,C,215.9,113.85
Mindaugas Kuzminskas,F,205.74,97.52
Mike D'Antoni,G,190.5,83.91
Mike Dabich,C,213.36,109.77
Ed Dahler,F,195.58,86.18
Quintin Dailey,G,190.5,81.65
Samuel Dalembert,C,210.82,115.67
Howie Dallmar,F,193.04,90.72
Erick Dampier,C,210.82,120.2
Louie Dampier*,G,182.88,77.11
Bob Dandridge,G-F,198.12,88.45
Antonio Daniels,G,193.04,88.45
Erik Daniels,F,203.2,97.07
Lloyd Daniels,G,200.66,92.99
Marquis Daniels,G-F,198.12,90.72
Mel Daniels*,C,205.74,99.79
Troy Daniels,G,193.04,92.99
Sasha Danilović,G,195.58,90.72
Adrian Dantley*,G-F,195.58,94.35
Pete Darcey,C,200.66,98.43
Jimmy Darden,G,185.42,77.11
Ollie Darden,F-C,200.66,106.59
Yinka Dare,C,213.36,120.2
Jesse Dark,G,195.58,95.25
Rick Darnell,F-C,208.28,97.52
Jimmy Darrow,G,177.8,77.11
Luigi Datome,F,203.2,97.52
Brad Daugherty,C,213.36,111.13
Mack Daughtry,G,190.5,79.38
Kornél Dávid,F,205.74,106.59
Jermareo Davidson,F,208.28,104.33
Bob Davies*,G-F,185.42,79.38
Brandon Davies,F,208.28,108.86
Anthony Davis,F-C,208.28,114.76
Antonio Davis,F-C,205.74,97.52
Aubrey Davis,G-F,187.96,79.38
Baron Davis,G,190.5,94.8
Ben Davis,F,205.74,108.86
Bill Davis,F,190.5,97.52
Bob Davis,F,200.66,97.52
Brad Davis,G,190.5,81.65
Brian Davis,G-F,200.66,90.72
Charles Davis,F,200.66,97.52
Charlie Davis,G,187.96,72.57
Dale Davis,F-C,210.82,104.33
Deyonta Davis,F-C,210.82,107.5
Dwight Davis,F,203.2,99.79
Ed Davis,F,205.74,102.06
Emanual Davis,G,193.04,88.45
Glen Davis,F-C,205.74,131.09
Harry Davis,F,200.66,99.79
Hubert Davis,G,195.58,83.01
Jim Davis,F-C,205.74,102.06
Johnny Davis,G,187.96,77.11
Josh Davis,F,203.2,106.59
Lee Davis,F-C,203.2,106.59
Mark Davis,G-F,198.12,88.45
Mark Davis,G-F,200.66,95.25
Mel Davis,F,198.12,99.79
Mickey Davis,G-F,200.66,88.45
Mike Davis,G,190.5,83.91
Mike Davis,F,208.28,104.33
Monti Davis,F,200.66,92.99
Paul Davis,C,210.82,122.47
Ralph Davis,G,193.04,81.65
Red Davis,C,200.66,99.79
Ricky Davis,G,198.12,88.45
Ron Davis,G-F,198.12,89.81
Terence Davis,G,193.04,92.99
Terry Davis,F-C,205.74,102.06
Tyler Davis,C,208.28,120.66
Walt Davis,F-C,203.2,92.99
Walter Davis,G-F,198.12,87.54
Warren Davis,F-C,198.12,96.16
Willie Davis,C,203.2,106.14
Andre Dawkins,G,195.58,97.52
Darryl Dawkins,C,210.82,113.85
Johnny Dawkins,G,187.96,74.84
Paul Dawkins,F,195.58,86.18
Branden Dawson,F,198.12,102.06
Eric Dawson,F,205.74,113.4
Jimmy Dawson,G,182.88,79.38
Tony Dawson,F,200.66,97.52
Todd Day,G-F,198.12,85.28
Austin Daye,F,210.82,99.79
Darren Daye,G-F,203.2,99.79
Nando De Colo,G,195.58,90.72
Billy DeAngelis,G,185.42,81.65
Dave DeBusschere*,G-F,198.12,99.79
Andrew DeClercq,F-C,208.28,104.33
Nate DeLong,C,198.12,99.79
Joe DePre,G,190.5,83.91
DeMar DeRozan,G-F,198.12,99.79
Hank DeZonie,F-C,198.12,97.52
Greg Deane,G,193.04,86.18
Dewayne Dedmon,C,213.36,111.13
Don Dee,F,203.2,95.25
Archie Dees,F-C,203.2,92.99
Terry Dehere,G,187.96,86.18
Red Dehnert,F,190.5,79.38
Bryce Dejean-Jones,G,198.12,94.8
Sam Dekker,F,205.74,104.33
Vinny Del Negro,G,193.04,83.91
Malcolm Delaney,G,190.5,86.18
Bison Dele,F-C,205.74,106.59
Carlos Delfino,G,198.12,104.33
Ángel Delgado,C,208.28,111.13
Tony Delk,G,185.42,85.73
Matthew Dellavedova,G,190.5,90.72
Fennis Dembo,F,195.58,97.52
Larry Demic,F-C,205.74,102.06
Dell Demps,G,190.5,92.99
George Dempsey,G,187.96,86.18
Luol Deng,F,205.74,107.5
Kenny Dennard,F,203.2,99.79
Blaine Denning,G,187.96,79.38
Justin Dentmon,G,180.34,83.91
Randy Denton,C,208.28,108.86
Rod Derline,G,182.88,79.38
Marcus Derrickson,F,200.66,112.94
Dave Deutsch,G,185.42,77.11
Corky Devlin,G,195.58,88.45
Ernie DiGregorio,G,182.88,81.65
Donte DiVincenzo,G,193.04,92.08
Derrick Dial,G,193.04,83.46
Cheick Diallo,F,203.2,99.79
Hamidou Diallo,G,195.58,91.63
Boris Diaw,F-C,203.2,113.4
Yakhouba Diawara,G-F,200.66,102.06
Guillermo Díaz,G,187.96,87.09
Dan Dickau,G,182.88,86.18
Kaniel Dickens,F,203.2,97.52
Henry Dickerson,G,193.04,86.18
Michael Dickerson,G-F,195.58,86.18
Clyde Dickey,G,190.5,83.91
Derrek Dickey,F,200.66,98.88
Dick Dickey,G,185.42,79.38
John Dickson,C,208.28,108.86
Travis Diener,G,185.42,79.38
Gorgui Dieng,C,208.28,114.31
Connie Dierking,F-C,205.74,100.7
Coby Dietrick,F-C,208.28,99.79
Craig Dill,C,210.82,97.52
Dwaine Dillard,F,198.12,104.33
Mickey Dillard,G,190.5,77.11
Bob Dille,F,190.5,86.18
Hook Dillon,F,190.5,81.65
Byron Dinkins,G,185.42,77.11
Jackie Dinkins,F,195.58,95.25
Harry Dinnel,G-F,193.04,90.72
Bill Dinwiddie,F,200.66,99.79
Spencer Dinwiddie,G,195.58,97.52
Ike Diogu,F,203.2,113.4
DeSagana Diop,C,213.36,136.08
Terry Dischinger,G-F,200.66,85.73
Fred Diute,G,190.5,95.25
Vlade Divac*,C,215.9,110.22
Juan Dixon,G,190.5,74.39
Earl Dodd,F,195.58,79.38
Michael Doleac,C,210.82,118.84
Joe Dolhon,G,182.88,79.38
Bob Doll,F-C,195.58,88.45
James Donaldson,C,218.44,124.74
Luka Dončić,G-F,200.66,98.88
Bob Donham,G-F,187.96,86.18
Billy Donovan,G,180.34,77.56
Harry Donovan,G,187.96,81.65
Keyon Dooling,G,190.5,88.9
Aleksandar Đorđević,G,187.96,89.81
Jacky Dorsey,F,200.66,104.33
Joey Dorsey,F,203.2,121.56
Ron Dorsey,F,193.04,90.72
Tyler Dorsey,G,195.58,83.01
Luguentz Dort,G,190.5,97.52
Damyean Dotson,G,195.58,91.63
Quincy Douby,G,190.5,79.38
Bruce Douglas,G,190.5,88.45
John Douglas,G,187.96,77.11
Leon Douglas,F-C,208.28,104.33
Sherman Douglas,G,182.88,81.65
Toney Douglas,G,187.96,88.45
Chris Douglas-Roberts,G,200.66,90.72
Sekou Doumbouya,F,203.2,94.8
Sonny Dove,F,200.66,89.81
Jerry Dover,G,170.18,70.31
Zabian Dowdell,G,190.5,86.64
Bill Downey,C,198.12,95.25
Steve Downing,C,203.2,102.06
Danny Doyle,F,203.2,90.72
Milton Doyle,G,193.04,83.91
PJ Dozier,G,198.12,92.99
Terry Dozier,F,205.74,95.25
Goran Dragić,G,190.5,86.18
Zoran Dragić,G-F,195.58,90.72
Greg Dreiling,C,215.9,113.4
Bryce Drew,G,187.96,83.91
John Drew,G-F,198.12,92.99
Larry Drew,G,185.42,77.11
Larry Drew,G,187.96,81.65
Clyde Drexler*,G,200.66,95.25
Nate Driggers,G,195.58,97.52
Terry Driscoll,F,200.66,97.52
Predrag Drobnjak,C,210.82,122.47
Ralph Drollinger,C,218.44,113.4
Andre Drummond,C,208.28,126.55
Dennis DuVal,G,190.5,79.38
Dick Duckett,G,185.42,83.91
Kevin Duckworth,C,213.36,124.74
Charles Dudley,G,187.96,81.65
Chris Dudley,C,210.82,106.59
Jared Dudley,G-F,198.12,107.5
Terry Duerod,G,187.96,81.65
Bob Duffy,F,193.04,79.38
Bob Duffy,G,190.5,83.91
Chris Duhon,G,185.42,83.91
Duje Dukan,F,205.74,99.79
Walter Dukes,C,213.36,99.79
Joe Dumars*,G,190.5,86.18
Rich Dumas,G,190.5,77.11
Richard Dumas,F,200.66,90.72
Tony Dumas,G,198.12,86.18
Andy Duncan,F-C,198.12,88.45
Tim Duncan*,F-C,210.82,113.4
Mike Dunleavy,G,190.5,81.65
Mike Dunleavy,G-F,205.74,104.33
Kris Dunn,G,190.5,92.99
Pat Dunn,G,187.96,77.11
T.R. Dunn,G-F,193.04,87.09
Ronald Dupree,F,200.66,94.8
Kevin Durant,G-F,208.28,108.86
John Duren,G,190.5,88.45
Jarrett Durham,F,195.58,85.28
Pat Durham,F,200.66,95.25
Devin Durrant,F,200.66,90.72
Ken Durrett,F,200.66,86.18
Trevon Duval,G,187.96,85.73
Jack Dwan,G-F,193.04,90.72
Craig Dykema,F,203.2,86.18
Gene Dyker,F,198.12,102.06
Jerome Dyson,G,190.5,81.65
Žarko Čabarkapa,F,210.82,106.59
Barney Cable,F,200.66,79.38
Bruno Caboclo,F,205.74,98.88
Jason Caffey,F,203.2,115.67
Michael Cage,F-C,205.74,101.6
Gerry Calabrese,G,185.42,79.38
Nick Calathes,G,198.12,96.62
José Calderón,G,190.5,90.72
Adrian Caldwell,F-C,203.2,120.2
Jim Caldwell,C,208.28,108.86
Joe Caldwell,G-F,195.58,88.45
Kentavious Caldwell-Pope,G,195.58,92.99
Bill Calhoun,G-F,190.5,81.65
Corky Calhoun,F,200.66,95.25
Demetrius Calip,G,185.42,74.84
Tom Callahan,G,185.42,81.65
Rick Calloway,F,198.12,81.65
Ernie Calverley,G,177.8,65.77
Mack Calvin,G,182.88,74.84
Dexter Cambridge,F,200.66,101.6
Marcus Camby,F-C,210.82,99.79
Elden Campbell,C,210.82,97.52
Tony Campbell,G-F,200.66,97.52
Isaiah Canaan,G,182.88,91.17
Vlatko Čančar,F,203.2,95.25
Larry Cannon,G,193.04,88.45
Clint Capela,C,208.28,108.86
Derrick Caracter,F,205.74,124.74
Frank Card,F,200.66,88.45
Brian Cardinal,F,203.2,111.13
Howie Carl,G,175.26,72.57
Chet Carlisle,F-C,195.58,88.45
Geno Carlisle,G,190.5,81.65
Rick Carlisle,G,195.58,95.25
Don Carlos,G-F,195.58,95.25
Al Carlson,C,210.82,106.59
Don Carlson,G-F,182.88,77.11
Bob Carney,G,190.5,77.11
Rodney Carney,F,200.66,92.99
Bob Carpenter,F-C,195.58,90.72
Antoine Carr,F-C,205.74,102.06
Austin Carr,G,193.04,90.72
Chris Carr,G,195.58,93.89
Cory Carr,G,190.5,95.25
Kenny Carr,F,200.66,99.79
M.L. Carr,G-F,198.12,92.99
Darel Carrier,G,190.5,83.91
Bob Carrington,G-F,198.12,88.45
DeMarre Carroll,F,198.12,97.52
Joe Barry Carroll,F-C,213.36,102.06
Matt Carroll,G,198.12,96.16
Jimmy Carruth,F-C,208.28,120.2
Anthony Carter,G,185.42,86.18
Butch Carter,G,195.58,81.65
Fred Carter,G-F,190.5,83.91
George Carter,G-F,193.04,95.25
Howard Carter,G,195.58,97.52
Jake Carter,F-C,193.04,88.45
Jevon Carter,G,185.42,88.45
Maurice Carter,G,195.58,95.25
Reggie Carter,G,190.5,79.38
Ron Carter,G,195.58,86.18
Vince Carter,G-F,198.12,99.79
Wendell Carter,C,205.74,117.48
Michael Carter-Williams,G,195.58,86.18
Bill Cartwright,C,215.9,111.13
Jay Carty,F,203.2,99.79
Alex Caruso,G,195.58,84.37
Cornelius Cash,F,203.2,97.52
Sam Cash,F,203.2,104.33
Sam Cassell,G,190.5,83.91
Omri Casspi,F,205.74,102.06
Harvey Catchings,F-C,205.74,98.88
Terry Catledge,F,203.2,99.79
Sid Catlett,F,198.12,104.33
Kelvin Cato,C,210.82,115.67
Bobby Cattage,F,205.74,113.4
Willie Cauley-Stein,F-C,213.36,108.86
Troy Caupain,G,193.04,95.25
Duane Causwell,C,213.36,108.86
Tyler Cavanaugh,F,205.74,107.95
Ron Cavenall,C,215.9,104.33
Cedric Ceballos,F,198.12,86.18
John Celestand,G,193.04,80.74
Al Cervi*,G-F,180.34,77.11
Lionel Chalmers,G,182.88,81.65
Mario Chalmers,G,187.96,86.18
Bill Chamberlain,F,198.12,85.28
Wilt Chamberlain*,C,215.9,124.74
Jerry Chambers,F,195.58,83.91
Tom Chambers,F-C,208.28,99.79
Mike Champion,F,208.28,104.33
Tyson Chandler,C,213.36,108.86
Wilson Chandler,F,203.2,106.59
Don Chaney,G,195.58,95.25
John Chaney,F-C,190.5,83.91
Rex Chapman,G,193.04,83.91
Wayne Chapman,G-F,198.12,86.18
Len Chappell,F-C,203.2,108.86
Ken Charles,G,190.5,81.65
Lorenzo Charles,F,200.66,102.06
Joe Chealey,G,190.5,86.18
Calbert Cheaney,G-F,200.66,94.8
Zylan Cheatham,F,195.58,99.79
Maurice Cheeks*,G,185.42,81.65
Phil Chenier,G,190.5,81.65
Will Cherry,G,182.88,83.91
Derrick Chievous,F,200.66,88.45
Pete Chilcutt,F-C,208.28,104.33
Josh Childress,G-F,203.2,95.25
Randolph Childress,G,187.96,85.28
Chris Childs,G,190.5,88.45
Chris Chiozza,G,180.34,79.38
Leroy Chollet,F,187.96,86.18
Jim Chones,F-C,210.82,99.79
Marquese Chriss,F,205.74,108.86
Fred Christ,G,193.04,95.25
Cal Christensen,F-C,195.58,95.25
Bob Christian,C,208.28,115.67
Doug Christie,G-F,198.12,90.72
Dionte Christmas,G,195.58,92.99
Rakeem Christmas,F,205.74,113.4
Semaj Christon,G,190.5,86.18
Patrick Christopher,G-F,195.58,94.8
Stephen Chubin,G,187.96,90.72
Robert Churchwell,G-F,198.12,88.45
Archie Clark,G,187.96,79.38
Carlos Clark,G,193.04,95.25
Earl Clark,F,208.28,102.06
Gary Clark,F,198.12,102.06
Ian Clark,G,190.5,79.38
Keon Clark,F-C,210.82,99.79
Richard Clark,G,193.04,86.18
Brandon Clarke,F,203.2,95.25
Coty Clarke,F,200.66,105.23
Jordan Clarkson,G,193.04,88.0
Gian Clavell,G,193.04,83.91
Victor Claver,F,205.74,101.6
John Clawson,F,193.04,90.72
Charles Claxton,C,213.36,120.2
Nicolas Claxton,F,210.82,97.52
Speedy Claxton,G,180.34,75.3
Jim Cleamons,G,190.5,83.91
Mateen Cleaves,G,187.96,92.99
Barry Clemens,F,198.12,95.25
Chris Clemons,G,175.26,81.65
Antonius Cleveland,G,195.58,88.45
Nat Clifton*,F-C,198.12,99.79
Bill Closs,F-C,195.58,88.45
Keith Closs,C,220.98,96.16
Paul Cloyd,G-F,187.96,81.65
Bob Cluggish,C,208.28,106.59
Ben Clyde,F,200.66,89.81
Amir Coffey,G,200.66,92.99
Richard Coffey,F,198.12,96.16
Fred Cofield,G,190.5,86.18
John Coker,C,213.36,114.76
Norris Cole,G,187.96,79.38
Ben Coleman,F,205.74,106.59
Derrick Coleman,F,208.28,104.33
E.C. Coleman,F,203.2,102.06
Jack Coleman,F-C,200.66,88.45
Norris Coleman,F,203.2,95.25
Bimbo Coles,G,185.42,81.65
